"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"RLUCUUS",197301,9999999.999999,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197302,9999999.999999,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197303,9999999.999999,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197304,9999999.999999,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197305,9999999.999999,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197306,9999999.999999,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197307,9999999.999999,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197308,9999999.999999,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197309,9999999.999999,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197310,0.402,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197311,0.418,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197312,0.437,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197313,0.388,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197401,0.465,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197402,0.491,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197403,0.528,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197404,0.537,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197405,0.55,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197406,0.556,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197407,0.558,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197408,0.554,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197409,0.55,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197410,0.534,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197411,0.528,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197412,0.528,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197413,0.532,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197501,0.532,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197502,0.533,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197503,0.534,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197504,0.54,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197505,0.55,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197506,0.567,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197507,0.591,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197508,0.595,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197509,0.597,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197510,0.594,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197511,0.589,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197512,0.586,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197513,0.567,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197601,0.584,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197602,0.578,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197603,0.569,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197604,0.567,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197605,0.576,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197606,0.592,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197607,0.599,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197608,0.603,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197609,0.604,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197610,0.603,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
