HOUSEID,URBRUR,HOMEOWN,RATIO16V,RATIO16W,RATIOWV,TRAVDAY,HHNUMBIK,TELCELL,TELLAND,HHFAMINC,HHTOTD,NUMADLT,HHSIZE,CNTTDHH,HHVEHCNT,WRKCOUNT,DRVRCNT,HHSTATE,HTPPOPDN,HTHRESDN,HTEEMPDN
10060777,1,2,0.3333,1,0.3333,2,4,2,1,18,16,1,1,4,3,1,1,TX,3000,2000,3000
10161197,1,1,1,1.3333,0.75,2,3,0,1,8,14,4,5,27,4,3,4,TX,1500,700,750
10283884,2,1,2,2,1,1,0,1,1,3,11,2,3,12,1,1,2,TX,50,25,25
10528295,2,1,0.6667,1,0.6667,6,2,2,1,8,11,2,2,7,3,2,2,TX,50,25,25
10698808,2,2,1.5,3,0.5,7,0,1,1,3,14,2,4,16,2,1,3,TX,50,25,25
10827635,1,2,2,2,1,3,0,1,1,5,14,2,5,5,1,1,2,TX,7000,6000,5000
10981470,1,2,1,1,1,1,0,0,1,5,16,2,2,10,2,2,2,TX,300,150,75
11878027,2,1,0.6667,0,0,2,1,1,1,1,11,2,2,6,3,0,2,TX,50,25,25
11975588,1,1,0.5,1,0.5,7,1,2,4,18,10,2,2,8,4,2,2,TX,750,25,75
12171163,1,2,1,1,1,5,0,0,1,6,13,1,1,5,1,1,1,TX,7000,6000,5000
12220182,2,1,1,2,0.5,7,0,2,1,14,15,2,4,2,2,1,2,TX,50,25,25
13185783,2,1,1,1,1,2,1,1,1,8,13,1,2,6,1,1,1,TX,50,25,25
13362119,2,1,1,1,1,3,0,1,1,8,12,2,2,11,2,2,2,TX,50,25,25
13427072,1,1,1,2,0.5,5,1,2,1,5,16,2,5,43,2,1,2,TX,50,25,25
13529891,1,1,0.6667,2,0.3333,7,2,-7,1,16,16,2,2,4,3,1,2,TX,750,700,350
14103113,1,1,1,2,0.5,7,0,2,1,18,10,2,2,16,2,1,2,TX,1500,700,750
14244379,1,2,1,1,1,3,0,2,1,17,14,2,2,4,2,2,2,TX,3000,700,750
14550557,2,1,1,2,0.5,6,1,0,2,16,16,2,6,30,2,1,2,TX,300,150,75
510001695,1,1,1,1,1,4,0,1,1,8,12,1,1,4,1,1,1,TX,7000,2000,3000
510003680,1,2,1.5,1.5,1,4,3,2,2,6,14,3,5,7,2,2,2,TX,3000,2000,1500
510005161,1,1,1,0,0,7,1,0,1,6,12,2,2,16,2,0,2,TX,3000,700,750
510007585,1,1,0.6667,1,0.6667,7,0,2,2,18,12,2,2,2,3,2,2,TX,50,25,25
510008603,1,1,1,1,1,7,2,2,1,11,15,2,3,24,2,2,2,TX,7000,2000,5000
510009507,2,1,0.6667,1,0.6667,2,0,2,1,12,14,2,3,13,3,2,3,TX,50,25,25
510012178,1,1,1,0,0,4,0,0,1,5,15,1,1,3,1,0,1,TX,7000,2000,3000
510012196,1,1,0.3333,1,0.3333,3,0,1,1,10,12,1,1,2,3,1,1,TX,3000,2000,1500
510015142,1,2,0.4,1,0.4,3,0,2,1,7,16,2,2,2,5,2,2,TX,3000,2000,1500
510019896,1,1,1,1,1,1,0,0,1,2,10,1,4,10,1,1,1,TX,3000,2000,1500
510022917,2,1,0.1,1,0.1,1,0,0,1,7,10,1,1,12,10,1,1,TX,50,25,25
510035177,1,1,1,2,0.5,7,1,1,1,6,11,2,2,4,2,1,2,TX,7000,2000,3000
510039504,1,1,1,1,1,5,0,2,1,14,16,2,3,4,2,2,2,TX,300,150,150
510040407,1,1,0.6667,0,0,4,3,1,1,4,12,2,2,8,3,0,2,TX,7000,2000,1500
510042652,2,1,1,0,0,5,0,0,1,-7,15,1,1,6,1,0,1,TX,300,25,25
510043211,2,1,1,2,0.5,3,2,0,1,15,11,2,2,4,2,1,2,TX,300,150,150
510045242,1,1,1,0,0,7,0,0,1,5,10,1,1,0,1,0,1,TX,750,700,350
510046502,1,1,1,0,0,2,0,0,1,2,14,1,1,2,1,0,1,TX,300,150,150
510055670,1,1,1,1,1,1,0,2,1,10,11,3,3,18,3,3,3,TX,3000,700,1500
510057393,1,1,1,1,1,2,4,1,2,18,12,2,2,2,2,2,2,TX,7000,2000,3000
510067646,1,1,1,0,0,7,0,1,1,10,15,2,2,7,2,0,2,TX,1500,700,750
510067833,1,1,1,2,0.5,5,0,0,1,6,14,2,4,8,2,1,2,TX,1500,700,750
510072556,1,1,1,0,0,4,1,1,1,9,12,2,2,4,2,0,2,TX,7000,4000,3000
510076367,1,1,1,1,1,4,1,1,2,17,16,1,1,3,1,1,1,TX,7000,6000,5000
510079845,1,2,1,1,1,6,3,1,1,8,14,2,2,0,2,2,2,TX,300,150,150
510084009,1,1,1,1,1,6,2,1,1,11,10,2,2,11,2,2,2,TX,7000,2000,3000
510085761,1,1,1,1,1,4,1,1,1,3,11,2,6,4,2,2,2,TX,7000,2000,3000
510087103,1,1,0.5,1,0.5,2,1,1,1,18,15,1,1,2,2,1,1,TX,7000,2000,3000
510087457,1,1,0.6667,1,0.6667,2,2,1,1,12,11,2,2,12,3,2,2,TX,3000,2000,1500
510090532,1,1,1,1,1,4,2,2,2,10,10,2,2,10,2,2,2,TX,3000,2000,1500
510092620,1,1,1,0,0,3,0,0,1,6,15,1,1,6,1,0,1,TX,3000,2000,1500
510097915,2,1,1,3,0.3333,2,1,2,2,8,12,2,4,9,3,1,2,TX,300,25,25
510099357,2,1,1,1.25,0.8,3,0,0,1,16,12,4,5,6,5,4,3,TX,50,25,25
510100114,1,1,1,1,1,3,2,1,1,13,13,2,4,14,2,2,2,TX,750,700,350
510101175,1,1,1,0,0,6,0,1,3,12,11,2,2,8,2,0,2,TX,7000,2000,3000
510101906,1,2,1,1,1,2,2,1,1,10,11,2,2,9,2,2,2,TX,3000,700,750
510102006,1,1,1,0,0,1,0,0,1,2,14,1,1,3,1,0,1,TX,50,25,25
510109005,1,1,1,0,0,5,0,1,1,5,12,2,2,6,2,0,2,TX,7000,2000,3000
510109603,1,2,1,2,0.5,5,1,2,1,8,12,2,2,4,2,1,2,TX,7000,4000,3000
510114951,1,2,2,2,1,5,0,0,1,4,10,2,5,14,1,1,2,TX,3000,2000,1500
510118212,1,2,1,1,1,6,1,1,1,10,13,1,1,8,1,1,1,TX,7000,2000,3000
510118351,1,1,0.6667,1,0.6667,7,2,2,1,17,12,2,2,5,3,2,2,TX,3000,700,1500
510119031,2,1,1,0,0,4,0,0,1,4,15,2,2,2,2,0,2,TX,300,25,25
510120297,1,2,1.5,3,0.5,7,2,0,1,8,12,2,6,60,2,1,1,TX,7000,2000,1500
510121155,1,2,0,2,0,1,0,0,1,1,15,2,4,23,0,1,1,TX,1500,700,350
510123560,1,1,1,0,0,3,0,2,1,5,13,1,1,0,1,0,1,TX,3000,2000,1500
510124996,2,1,2,0,0,2,0,1,1,2,10,2,2,6,1,0,1,TX,50,25,25
510125948,1,1,1,0,0,2,0,1,1,-8,13,2,2,17,2,0,2,TX,7000,2000,3000
510130764,1,1,2,0,0,3,0,1,1,10,15,2,2,6,1,0,2,TX,50,25,25
510130979,1,1,0.5,1,0.5,4,0,1,1,4,12,1,1,3,2,1,1,TX,7000,2000,1500
510131097,1,1,1,1,1,7,1,2,1,18,14,2,2,6,2,2,2,TX,7000,2000,3000
510131958,1,1,1,2,0.5,7,2,2,2,18,10,2,4,5,2,1,2,TX,1500,700,750
510133112,1,1,1,1,1,3,0,1,1,15,11,2,6,17,2,2,2,TX,3000,2000,1500
510135460,1,1,0.5,1,0.5,5,0,1,5,-1,16,1,1,2,2,1,1,TX,3000,700,1500
510138724,1,1,1,3,0.3333,3,0,1,1,6,12,2,5,17,3,1,3,TX,1500,700,350
510138911,1,1,0.6667,1,0.6667,7,2,1,2,18,15,2,4,26,3,2,2,TX,1500,700,750
510142767,1,1,1,1,1,7,2,2,1,11,12,2,2,9,2,2,2,TX,3000,2000,1500
510148611,1,1,1,1,1,2,0,2,1,16,12,2,3,6,2,2,2,TX,1500,700,750
510155918,2,1,1,1,1,3,1,0,1,1,12,1,1,4,1,1,1,TX,50,25,25
510162822,1,1,1,0.8,1.25,5,0,4,2,5,12,4,5,26,4,5,4,TX,50,25,25
510163436,2,1,1,1,1,4,2,2,4,6,13,2,5,28,2,2,2,TX,50,25,25
