Year,Month,Total,Year_To_Date,Moving_12_Months
1970,1,80173,80173,-
1970,2,77442,157615,-
1970,3,90223,247837,-
1970,4,89956,337794,-
1970,5,97972,435765,-
1970,6,100035,535800,-
1970,7,106392,642193,-
1970,8,106969,749161,-
1970,9,95254,844416,-
1970,10,96317,940733,-
1970,11,89684,1030417,-
1970,12,89911,1120328,-
1971,1,85336,85336,1125491
1971,2,80118,165455,1128168
1971,3,92974,258429,1130920
1971,4,98106,356536,1139069
1971,5,103655,460190,1144752
1971,6,105433,565623,1150150
1971,7,112466,678089,1156224
1971,8,112642,790731,1161897
1971,9,101290,892021,1167932
1971,10,102525,994545,1174140
1971,11,95555,1090100,1180011
1971,12,95515,1185616,1185616
1972,1,92465,92465,1192744
1972,2,88272,180738,1200898
1972,3,102926,283664,1210850
1972,4,103238,386902,1215982
1972,5,110945,497847,1223273
1972,6,113265,611112,1231105
1972,7,118594,729707,1237234
1972,8,119913,849619,1244504
1972,9,108072,957692,1251287
1972,10,108841,1066533,1257603
1972,11,100791,1167324,1262839
1972,12,101040,1268363,1268363
1973,1,96664,96664,1272563
1973,2,92567,189231,1276857
1973,3,107490,296721,1281421
1973,4,108120,404841,1286303
1973,5,114819,519660,1290176
1973,6,115859,635518,1292769
1973,7,121685,757203,1295860
1973,8,124426,881629,1300374
1973,9,110332,991961,1302633
1973,10,113089,1105050,1306881
1973,11,104381,1209431,1310471
1973,12,98856,1308287,1308287
1974,1,95030,95030,1306653
1974,2,86426,181456,1300512
1974,3,100736,282192,1293758
1974,4,104579,386771,1290217
1974,5,112167,498938,1287565
1974,6,113888,612826,1285595
1974,7,120890,733715,1284800
1974,8,124070,857786,1284443
1974,9,109125,966911,1283237
1974,10,112572,1079482,1282720
1974,11,105079,1184562,1283418
1974,12,105083,1289644,1289644
1975,1,98342,98342,1292957
1975,2,91303,189645,1297834
1975,3,106070,295715,1303167
1975,4,107133,402848,1305721
1975,5,116659,519507,1310213
1975,6,118388,637895,1314713
1975,7,124493,762388,1318317
1975,8,126103,888491,1320349
1975,9,111399,999889,1322623
1975,10,115250,1115139,1325301
1975,11,106990,1222129,1327211
1975,12,107945,1330073,1330073
1976,1,102460,102460,1334191
1976,2,98528,200988,1341416
1976,3,114284,315272,1349630
1976,4,117014,432285,1359511
1976,5,123278,555564,1366130
1976,6,124128,679692,1371870
1976,7,130891,810582,1378268
1976,8,131913,942495,1384078
1976,9,119431,1061926,1392110
1976,10,121210,1183136,1398071
1976,11,112996,1296132,1404077
1976,12,113030,1409162,1409162
1977,1,102445,102445,1409147
1977,2,102416,204861,1413035
1977,3,119960,324821,1418712
